get_input: 83376625.66392358 mv_to_gpu: 0.006592810153961182, forward: 0.17425986528396606, backwardU: 0.3899367094039917, batch: 20
get_input: 79406310.22079408 mv_to_gpu: 0.006993486767723447, forward: 0.1738248893192836, backwardU: 0.3907928012666248, batch: 21
get_input: 75796932.54493417 mv_to_gpu: 0.006965517997741699, forward: 0.1731513196771795, backwardU: 0.3903712142597545, batch: 22
get_input: 72501413.78577888 mv_to_gpu: 0.006939483725506327, forward: 0.1724976560343867, backwardU: 0.3898792888807214, batch: 23
get_input: 69480521.58934332 mv_to_gpu: 0.006913145383199056, forward: 0.1718711256980896, backwardU: 0.38940205176671344, batch: 24
get_input: 66701300.78246867 mv_to_gpu: 0.00688105583190918, forward: 0.1712396812438965, backwardU: 0.38904208183288574, batch: 25
get_input: 64135866.19276123 mv_to_gpu: 0.0068531953371488135, forward: 0.17077035170335036, backwardU: 0.3893068478657649, batch: 26
get_input: 61760463.78938349 mv_to_gpu: 0.006812077981454355, forward: 0.17026811175876194, backwardU: 0.388979814670704, batch: 27
get_input: 59554733.033615775 mv_to_gpu: 0.006796896457672119, forward: 0.17012529713766916, backwardU: 0.38864019938877653, batch: 28
get_input: 57501121.593848616 mv_to_gpu: 0.00677165491827603, forward: 0.1697544476081585, backwardU: 0.38903646633542815, batch: 29
get_input: 55584417.598444924 mv_to_gpu: 0.0067434549331665036, forward: 0.16932185490926108, backwardU: 0.3888140598932902, batch: 30
get_input: 53791371.90954003 mv_to_gpu: 0.006719404651272682, forward: 0.16895482617039834, backwardU: 0.38860344886779785, batch: 31
get_input: 52110391.56584725 mv_to_gpu: 0.006707586348056793, forward: 0.16859295964241028, backwardU: 0.38841257989406586, batch: 32
get_input: 50531288.84606632 mv_to_gpu: 0.006696115840565075, forward: 0.1682523741866603, backwardU: 0.38811183698249585, batch: 33
get_input: 49045074.50530675 mv_to_gpu: 0.006675979670356302, forward: 0.16793815528645234, backwardU: 0.3879861691418816, batch: 34
get_input: 47643786.690136075 mv_to_gpu: 0.006646074567522322, forward: 0.1675873143332345, backwardU: 0.3878478867667062, batch: 35
get_input: 46320348.199207306 mv_to_gpu: 0.006629467010498047, forward: 0.16746810409757826, backwardU: 0.3883917000558641, batch: 36
get_input: 45068446.954432264 mv_to_gpu: 0.0066157225016001105, forward: 0.1672024018055684, backwardU: 0.38826161461907466, batch: 37
get_input: 43882435.230177365 mv_to_gpu: 0.0065909624099731445, forward: 0.16693068178076492, backwardU: 0.3880758348264192, batch: 38
get_input: 42757244.62187422 mv_to_gpu: 0.0065826513828375404, forward: 0.1667666129576854, backwardU: 0.3879193464914958, batch: 39
get_input: 41688313.53465647 mv_to_gpu: 0.006569409370422363, forward: 0.16652783751487732, backwardU: 0.38785889744758606, batch: 40
get_input: 40671525.42179449 mv_to_gpu: 0.006552294987003978, forward: 0.16626705192938085, backwardU: 0.38772071861639257, batch: 41
get_input: 39703155.80161696 mv_to_gpu: 0.006538419496445428, forward: 0.16605810324350992, backwardU: 0.38762809549059185, batch: 42
get_input: 38779826.623404495 mv_to_gpu: 0.006526514541271121, forward: 0.16587063323619755, backwardU: 0.38755241105722826, batch: 43
get_input: 37898466.95393402 mv_to_gpu: 0.006504546512256969, forward: 0.1656665043397383, backwardU: 0.38731172951785003, batch: 44
get_input: 37056278.8312672 mv_to_gpu: 0.006488980187310113, forward: 0.1654739538828532, backwardU: 0.38726972473992244, batch: 45
get_input: 36250707.568368785 mv_to_gpu: 0.0064718878787496815, forward: 0.16530064914537512, backwardU: 0.3871501373208087, batch: 46
get_input: 35479415.94059455 mv_to_gpu: 0.006453123498470225, forward: 0.16511112071098166, backwardU: 0.387040949882345, batch: 47
get_input: 34740261.46142512 mv_to_gpu: 0.006436934073766072, forward: 0.16495482126871744, backwardU: 0.3869616389274597, batch: 48
get_input: 34031276.55709988 mv_to_gpu: 0.006423716642418686, forward: 0.16479523327885842, backwardU: 0.3868928247568559, batch: 49
get_input: 33350651.069360614 mv_to_gpu: 0.006420550346374512, forward: 0.16464827537536622, backwardU: 0.3867779016494751, batch: 50
get_input: 32696716.753865603 mv_to_gpu: 0.006409210317275103, forward: 0.1644905641967175, backwardU: 0.386645564845964, batch: 51
get_input: 32067933.764263228 mv_to_gpu: 0.006402084460625282, forward: 0.1644121500161978, backwardU: 0.38685303926467896, batch: 52
get_input: 31462878.45051212 mv_to_gpu: 0.006390787520498599, forward: 0.16426427409334002, backwardU: 0.38675246598585594, batch: 53
get_input: 30880232.58775821 mv_to_gpu: 0.0063891366676048, forward: 0.1641528915475916, backwardU: 0.3866635031170315, batch: 54
get_input: 30318773.83645642 mv_to_gpu: 0.006395131891424006, forward: 0.16406660079956054, backwardU: 0.3865671981464733, batch: 55
get_input: 29777367.17624224 mv_to_gpu: 0.006397119590214321, forward: 0.1640084981918335, backwardU: 0.3867457721914564, batch: 56
get_input: 29254957.244144175 mv_to_gpu: 0.0063891661794562085, forward: 0.16388261109067684, backwardU: 0.386653042676156, batch: 57
get_input: 28750561.454791375 mv_to_gpu: 0.006383731447417161, forward: 0.16376585795961576, backwardU: 0.38662623948064345, batch: 58
get_input: 28263263.827229127 mv_to_gpu: 0.006371966863082627, forward: 0.16363307581109515, backwardU: 0.3869456962003546, batch: 59
get_input: 27792209.448624525 mv_to_gpu: 0.006369773546854655, forward: 0.16355919043223063, backwardU: 0.38707223733266194, batch: 60
get_input: 27336599.483370062 mv_to_gpu: 0.006370606969614498, forward: 0.16347883959285547, backwardU: 0.3872072579430752, batch: 61
get_input: 26895686.604160164 mv_to_gpu: 0.006366245208248016, forward: 0.16336754445106752, backwardU: 0.38702729055958407, batch: 62
get_input: 26468770.976054654 mv_to_gpu: 0.00636321779281374, forward: 0.16328679569183835, backwardU: 0.3869602566673642, batch: 63
get_input: 26055196.44608722 mv_to_gpu: 0.006352793425321579, forward: 0.16319014504551888, backwardU: 0.3870835602283478, batch: 64
get_input: 25654347.29340152 mv_to_gpu: 0.006343027261587289, forward: 0.1631039289327768, backwardU: 0.38729255016033465, batch: 65
get_input: 25265645.08558496 mv_to_gpu: 0.006333665414289994, forward: 0.16301016374067825, backwardU: 0.3872074647383256, batch: 66
get_input: 24888545.923759315 mv_to_gpu: 0.006323803716631078, forward: 0.16290497423997566, backwardU: 0.38709715231141045, batch: 67
get_input: 24522537.945385784 mv_to_gpu: 0.00631787145839018, forward: 0.16301109860925114, backwardU: 0.3871055736261256, batch: 68
get_input: 24167138.86653804 mv_to_gpu: 0.006310449130293252, forward: 0.16292374721471814, backwardU: 0.3870429578034774, batch: 69
get_input: 23821894.046087403 mv_to_gpu: 0.006305108751569475, forward: 0.16283610888889857, backwardU: 0.38693405560084754, batch: 70
get_input: 23486374.43234964 mv_to_gpu: 0.00629783012497593, forward: 0.16276126848140232, backwardU: 0.38681523229034853, batch: 71
get_input: 23160174.80367865 mv_to_gpu: 0.0062880681620703805, forward: 0.16267301638921103, backwardU: 0.3867286013232337, batch: 72
get_input: 22842912.1475111 mv_to_gpu: 0.006282074810707406, forward: 0.16259156514520515, backwardU: 0.386670612309077, batch: 73
get_input: 22534224.1738263 mv_to_gpu: 0.006279120574126372, forward: 0.1625180824382885, backwardU: 0.38666639779065104, batch: 74
get_input: 22233767.864585172 mv_to_gpu: 0.006271384557088216, forward: 0.16242760976155599, backwardU: 0.3866013749440511, batch: 75
get_input: 21941218.3045491 mv_to_gpu: 0.006266826077511436, forward: 0.16236365468878494, backwardU: 0.3865476721211484, batch: 76
get_input: 21656267.433679532 mv_to_gpu: 0.006258558917355227, forward: 0.16228358157269365, backwardU: 0.38643853695361646, batch: 77
[train: 1, 50 / 7500] FPS: 4.3 (2.9)  ,  DataTime: 1.312 (0.006)  ,  ForwardTime: 0.553  ,  TotalTime: 1.871  ,  Loss/total: 48.50399  ,  Loss/giou: 1.20503  ,  Loss/l1: 0.30056  ,  Loss/location: 44.59114  ,  IoU: 0.07493  ,  Loss/track_mix_loss: 28.51690

# three data without mixget_input: 1667532768.5125732 mv_to_gpu: 0.007598876953125, forward: 0.8630614280700684, backwardU: 0.4250493049621582, batch: 1
get_input: 833766385.0146842 mv_to_gpu: 0.007138848304748535, forward: 0.5102097988128662, backwardU: 0.4258979558944702, batch: 2
get_input: 555844256.9620596 mv_to_gpu: 0.0072634220123291016, forward: 0.3937809467315674, backwardU: 0.40999674797058105, batch: 3
get_input: 416883193.00832194 mv_to_gpu: 0.007272481918334961, forward: 0.33515995740890503, backwardU: 0.40208959579467773, batch: 4
get_input: 333506554.6649449 mv_to_gpu: 0.0073680877685546875, forward: 0.3007608413696289, backwardU: 0.40290126800537107, batch: 5
get_input: 277922129.097997 mv_to_gpu: 0.0073490142822265625, forward: 0.27763764063517254, backwardU: 0.40236135323842365, batch: 6
get_input: 238218967.9401639 mv_to_gpu: 0.007341078349522182, forward: 0.26091957092285156, backwardU: 0.4020578520638602, batch: 7
get_input: 208441597.09806558 mv_to_gpu: 0.007320970296859741, forward: 0.2482558786869049, backwardU: 0.40223053097724915, batch: 8
get_input: 185281419.78560412 mv_to_gpu: 0.007259898715549045, forward: 0.23850440979003906, backwardU: 0.40138090981377494, batch: 9
get_input: 166753277.91825035 mv_to_gpu: 0.007148432731628418, forward: 0.23046586513519288, backwardU: 0.399713397026062, batch: 10
get_input: 151593889.10330635 mv_to_gpu: 0.007043274966153232, forward: 0.2238376574082808, backwardU: 0.3984018022363836, batch: 11
get_input: 138961065.11862805 mv_to_gpu: 0.006983836491902669, forward: 0.21837804714838663, backwardU: 0.39724453290303546, batch: 12
get_input: 128271752.5263643 mv_to_gpu: 0.006978713549100435, forward: 0.21405430940481332, backwardU: 0.39624971609849197, batch: 13
get_input: 119109484.67917314 mv_to_gpu: 0.006926774978637695, forward: 0.21093920298985072, backwardU: 0.39563470227377756, batch: 14
get_input: 111168852.43738346 mv_to_gpu: 0.006883494059244792, forward: 0.20748039881388347, backwardU: 0.3949084440867106, batch: 15
get_input: 104220799.21576676 mv_to_gpu: 0.0068176984786987305, forward: 0.20430663228034973, backwardU: 0.3945004791021347, batch: 16
get_input: 98090164.03277871 mv_to_gpu: 0.006787566577686983, forward: 0.2015689401065602, backwardU: 0.3939387938555549, batch: 17
get_input: 92640710.56775938 mv_to_gpu: 0.006771537992689345, forward: 0.19913007153405082, backwardU: 0.3934509886635674, batch: 18
get_input: 87764883.7533941 mv_to_gpu: 0.006805645792107833, forward: 0.19735047691746763, backwardU: 0.39359637310630397, batch: 19
get_input: 83376639.63760929 mv_to_gpu: 0.006995368003845215, forward: 0.1955222487449646, backwardU: 0.3933201551437378, batch: 20
get_input: 79406323.53059308 mv_to_gpu: 0.006942612784249442, forward: 0.1937194892338344, backwardU: 0.39314993222554523, batch: 21
get_input: 75796945.24824081 mv_to_gpu: 0.006980050693858753, forward: 0.19216053052382034, backwardU: 0.39331346208398993, batch: 22
get_input: 72501425.93953343 mv_to_gpu: 0.0069579248842985735, forward: 0.1907810231913691, backwardU: 0.39264992009038513, batch: 23
get_input: 69480533.24111642 mv_to_gpu: 0.0069076915582021075, forward: 0.18938957651456198, backwardU: 0.39278438687324524, batch: 24
get_input: 66701311.970128976 mv_to_gpu: 0.0068683910369873044, forward: 0.1881124210357666, backwardU: 0.39234408378601077, batch: 25
get_input: 64135876.94613965 mv_to_gpu: 0.006844758987426758, forward: 0.18692288948939398, backwardU: 0.39199222051180327, batch: 26
get_input: 61760474.14389891 mv_to_gpu: 0.006805799625538013, forward: 0.18579280817950214, backwardU: 0.39283650892752187, batch: 27
get_input: 59554743.01267482 mv_to_gpu: 0.006768746035439628, forward: 0.1847842846597944, backwardU: 0.39249231134142193, batch: 28
get_input: 57501131.22713032 mv_to_gpu: 0.006746719623434132, forward: 0.18385655304481244, backwardU: 0.39229702949523926, batch: 29
get_input: 55584426.91212078 mv_to_gpu: 0.006745004653930664, forward: 0.18306344350179035, backwardU: 0.3925814628601074, batch: 30
get_input: 53791380.9234336 mv_to_gpu: 0.0067297412503150205, forward: 0.18229656065663985, backwardU: 0.39286241223735197, batch: 31
get_input: 52110400.29826911 mv_to_gpu: 0.006721898913383484, forward: 0.18156113475561142, backwardU: 0.3930303826928139, batch: 32
get_input: 50531297.31480354 mv_to_gpu: 0.006721930070356889, forward: 0.18092341856522995, backwardU: 0.39323871063463617, batch: 33
get_input: 49045082.72586907 mv_to_gpu: 0.006699583109687357, forward: 0.18031604850993438, backwardU: 0.39336685573353486, batch: 34
get_input: 47643794.67516218 mv_to_gpu: 0.006683438164847237, forward: 0.17973877361842563, backwardU: 0.39347502163478304, batch: 35
get_input: 46320355.961660594 mv_to_gpu: 0.006657083829243978, forward: 0.17912409040662977, backwardU: 0.3931999471452501, batch: 36
get_input: 45068454.4956748 mv_to_gpu: 0.006713699650120091, forward: 0.17872273599779284, backwardU: 0.3934777491801494, batch: 37
get_input: 43882442.57131626 mv_to_gpu: 0.006719764910246197, forward: 0.17823039857964768, backwardU: 0.3935701847076416, batch: 38
get_input: 42757251.77991274 mv_to_gpu: 0.0067029549525334286, forward: 0.17770201731950808, backwardU: 0.39352037967779696, batch: 39
get_input: 41688320.51334388 mv_to_gpu: 0.006683945655822754, forward: 0.1771575152873993, backwardU: 0.3934709310531616, batch: 40
get_input: 40671532.229964234 mv_to_gpu: 0.006671440310594513, forward: 0.1766943698976098, backwardU: 0.39330028906101133, batch: 41
get_input: 39703162.446253695 mv_to_gpu: 0.006660364923023042, forward: 0.17623125939142137, backwardU: 0.393106012117295, batch: 42
get_input: 38779833.11463197 mv_to_gpu: 0.006653696991676508, forward: 0.17578954474870548, backwardU: 0.39292368777962616, batch: 43
get_input: 37898473.29842199 mv_to_gpu: 0.0066384402188387785, forward: 0.17537892406637018, backwardU: 0.3926732215014371, batch: 44
get_input: 37056285.03318852 mv_to_gpu: 0.006619336869981554, forward: 0.17496232986450194, backwardU: 0.3925473690032959, batch: 45
get_input: 36250713.64798616 mv_to_gpu: 0.006601706795070482, forward: 0.17457841790240744, backwardU: 0.39235108831654425, batch: 46
get_input: 35479421.89025409 mv_to_gpu: 0.006596570319317757, forward: 0.17427200459419412, backwardU: 0.3925971680499138, batch: 47
get_input: 34740267.28909098 mv_to_gpu: 0.006589561700820923, forward: 0.17399642368157706, backwardU: 0.3927025447289149, batch: 48
get_input: 34031282.26570482 mv_to_gpu: 0.006577978328782685, forward: 0.17366798556580834, backwardU: 0.3925208899439598, batch: 49
get_input: 33350656.664510876 mv_to_gpu: 0.006565108299255371, forward: 0.173352427482605, backwardU: 0.3923278570175171, batch: 50
get_input: 32696722.23935063 mv_to_gpu: 0.00654452454810049, forward: 0.1730163892110189, backwardU: 0.3921692231122185, batch: 51
get_input: 32067939.144024357 mv_to_gpu: 0.006528978164379413, forward: 0.1727267366189223, backwardU: 0.3920820630513705, batch: 52
get_input: 31462883.72620118 mv_to_gpu: 0.006523289770450232, forward: 0.1724398361062104, backwardU: 0.39193758424722924, batch: 53
get_input: 30880237.766559824 mv_to_gpu: 0.006518372782954463, forward: 0.17215681076049805, backwardU: 0.3918582112700851, batch: 54
get_input: 30318778.92048375 mv_to_gpu: 0.006509486111727628, forward: 0.1718912428075617, backwardU: 0.39177523092790084, batch: 55
get_input: 29777372.167452488 mv_to_gpu: 0.006499520369938442, forward: 0.17161070023264205, backwardU: 0.39164802857807707, batch: 56
get_input: 29254962.146706454 mv_to_gpu: 0.006485311608565481, forward: 0.1713588697868481, backwardU: 0.3915065840670937, batch: 57
get_input: 28750566.271537725 mv_to_gpu: 0.006477713584899902, forward: 0.17115742173688164, backwardU: 0.3915014883567547, batch: 58
get_input: 28263268.5728977 mv_to_gpu: 0.0064694679389565675, forward: 0.17093380426956437, backwardU: 0.39141349873300324, batch: 59
get_input: 27792214.115718164 mv_to_gpu: 0.0064617633819580075, forward: 0.17072227398554485, backwardU: 0.39129101832707724, batch: 60
get_input: 27336604.075218666 mv_to_gpu: 0.006455425356255203, forward: 0.17053297699474898, backwardU: 0.3912484606758493, batch: 61
get_input: 26895691.122373793 mv_to_gpu: 0.006450960713048135, forward: 0.17032680972929923, backwardU: 0.3911019717493365, batch: 62
get_input: 26468775.424414728 mv_to_gpu: 0.006450297340514168, forward: 0.17015285340566483, backwardU: 0.3912911604321192, batch: 63
get_input: 26055200.825292353 mv_to_gpu: 0.006445292383432388, forward: 0.1699756570160389, backwardU: 0.391475398093462, batch: 64
get_input: 25654351.60665695 mv_to_gpu: 0.006441662861750676, forward: 0.1698136696448693, backwardU: 0.3915392655592698, batch: 65
get_input: 25265649.33371052 mv_to_gpu: 0.006462061043941613, forward: 0.16968782020337653, backwardU: 0.39158148476571747, batch: 66
get_input: 24888550.10864469 mv_to_gpu: 0.006473025279258614, forward: 0.16954270761404464, backwardU: 0.392057778230354, batch: 67
get_input: 24522542.067783304 mv_to_gpu: 0.0064621322295245, forward: 0.169534329105826, backwardU: 0.3919194130336537, batch: 68
get_input: 24167142.92873751 mv_to_gpu: 0.0064592396003612575, forward: 0.16936080006585605, backwardU: 0.391915456108425, batch: 69
get_input: 23821898.05032777 mv_to_gpu: 0.006448180334908622, forward: 0.16918547153472902, backwardU: 0.3918170860835484, batch: 70
get_input: 23486378.380000953 mv_to_gpu: 0.006436828156592141, forward: 0.16902797658678512, backwardU: 0.39173852557867345, batch: 71
get_input: 23160178.69635904 mv_to_gpu: 0.006427033079995049, forward: 0.16887200209829542, backwardU: 0.39167100191116333, batch: 72
get_input: 22842915.98664039 mv_to_gpu: 0.006415177698004736, forward: 0.16874066117691666, backwardU: 0.391520960690224, batch: 73
get_input: 22534227.951322433 mv_to_gpu: 0.006410634195482409, forward: 0.16858390537468163, backwardU: 0.3914621424030613, batch: 74
get_input: 22233771.59251699 mv_to_gpu: 0.006403236389160156, forward: 0.16841956774393718, backwardU: 0.3913077163696289, batch: 75
get_input: 21941221.98511357 mv_to_gpu: 0.006400048732757568, forward: 0.16831505298614502, backwardU: 0.3914138078689575, batch: 76
get_input: 21656271.066731997 mv_to_gpu: 0.006396962450696276, forward: 0.16817732290788132, backwardU: 0.39135165957661416, batch: 77
get_input: 21378626.576085225 mv_to_gpu: 0.006389877735040126, forward: 0.16803157329559326, backwardU: 0.3914017402208768, batch: 78
get_input: 21108011.063277524 mv_to_gpu: 0.006383645383617546, forward: 0.16789889939223665, backwardU: 0.3913248128528836, batch: 79
get_input: 20844160.940961894 mv_to_gpu: 0.0063762694597244264, forward: 0.1677681028842926, backwardU: 0.3912656456232071, batch: 80
get_input: 20586825.635541994 mv_to_gpu: 0.006369690836211781, forward: 0.16764565456060715, backwardU: 0.39117507287013675, batch: 81
get_input: 20335766.80184898 mv_to_gpu: 0.006364746791560475, forward: 0.1675396285405973, backwardU: 0.39112861563519735, batch: 82
get_input: 20090757.58556891 mv_to_gpu: 0.006362366389079267, forward: 0.1674184483217906, backwardU: 0.3913149718778679, batch: 83
get_input: 19851581.915792298 mv_to_gpu: 0.006356435162680489, forward: 0.16729193642025902, backwardU: 0.391167992637271, batch: 84
get_input: 19618033.91114954 mv_to_gpu: 0.006348478092866786, forward: 0.1671723814571605, backwardU: 0.39105584200690774, batch: 85
get_input: 19389917.2521908 mv_to_gpu: 0.006362346715705339, forward: 0.16709094823792922, backwardU: 0.39111391056415645, batch: 86
get_input: 19167044.65288799 mv_to_gpu: 0.00635679562886556, forward: 0.16698043647853808, backwardU: 0.3909955655021229, batch: 87
get_input: 18949237.341365166 mv_to_gpu: 0.006353026086633856, forward: 0.16687197305939414, backwardU: 0.39087326147339563, batch: 88
get_input: 18736324.582928345 mv_to_gpu: 0.006349810053793232, forward: 0.16677022783943776, backwardU: 0.3907610432485516, batch: 89
get_input: 18528143.214784373 mv_to_gpu: 0.0063444084591335725, forward: 0.1666614956325955, backwardU: 0.3907141288121541, batch: 90
get_input: 18324537.257274993 mv_to_gpu: 0.006340262654063466, forward: 0.1665722459227174, backwardU: 0.3906376440446455, batch: 91
get_input: 18125357.520637963 mv_to_gpu: 0.00633345479550569, forward: 0.16645807805268661, backwardU: 0.3906173757884813, batch: 92
