Evaluating    1 trackers on     1 sequences
Tracker: dimp dimp50 None ,  Sequence: pigeon04_wild
Using /root/.cache/torch_extensions as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /root/.cache/torch_extensions/_prroi_pooling/build.ninja...
Building extension module _prroi_pooling...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _prroi_pooling...
FPS: 18.480836359754
Done
         3764651 function calls (3632342 primitive calls) in 14.452 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      143    0.006    0.000    1.802    0.013 resnet.py:175(forward)
        1    0.000    0.000    1.528    1.528 cpp_extension.py:1(<module>)
        1    0.001    0.001    1.516    1.516 dimp.py:329(generate_init_samples)
 1280/851    0.014    0.000    1.471    0.002 container.py:115(forward)
6330/4336    0.006    0.000    1.427    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
       67    0.040    0.001    1.332    0.020 dimp.py:650(refine_target_box)
     1859    0.120    0.000    1.323    0.001 resnet.py:72(forward)
        1    0.000    0.000    1.193    1.193 loading.py:8(load_network)
        1    0.000    0.000    1.193    1.193 loading.py:34(load_network)
       67    0.002    0.000    1.167    0.017 dimp.py:716(optimize_boxes)
       67    0.069    0.001    1.164    0.017 dimp.py:725(optimize_boxes_default)
        1    0.000    0.000    1.097    1.097 preprocessing.py:14(sample_patch_transformed)
        1    0.000    0.000    1.081    1.081 preprocessing.py:28(<listcomp>)
        3    0.000    0.000    1.047    0.349 augmentation.py:141(__call__)
     6584    0.014    0.000    0.905    0.000 conv.py:422(forward)
     6584    0.019    0.000    0.886    0.000 conv.py:414(_conv_forward)
        8    0.001    0.000    0.794    0.099 subprocess.py:608(__init__)
        8    0.002    0.000    0.793    0.099 subprocess.py:1228(_execute_child)
        1    0.000    0.000    0.766    0.766 model_constructor.py:41(get)
        1    0.000    0.000    0.766    0.766 model_constructor.py:11(f_wrapper)
        1    0.000    0.000    0.766    0.766 dimpnet.py:146(dimpnet50)
        2    0.000    0.000    0.764    0.382 build_ext.py:1(<module>)
        2    0.001    0.000    0.756    0.378 __init__.py:10(<module>)
        1    0.000    0.000    0.747    0.747 tensorlist.py:1(<module>)
      143    0.001    0.000    0.695    0.005 tracker.py:766(_read_image)
     2496    0.009    0.000    0.685    0.000 re.py:286(_compile)
      355    0.002    0.000    0.672    0.002 sre_compile.py:557(compile)
        5    0.001    0.000    0.665    0.133 subprocess.py:392(run)
      342    0.000    0.000    0.663    0.002 re.py:231(compile)
        1    0.004    0.004    0.656    0.656 hipify_python.py:25(<module>)
      143    0.644    0.005    0.644    0.005 {imread}
        1    0.000    0.000    0.549    0.549 optimization.py:1(<module>)
        1    0.000    0.000    0.546    0.546 plotting.py:1(<module>)
        1    0.000    0.000    0.541    0.541 cpp_extension.py:888(load)
        1    0.000    0.000    0.541    0.541 cpp_extension.py:1133(_jit_compile)
        1    0.000    0.000    0.534    0.534 cpp_extension.py:1241(_write_ninja_file_and_build_library)
      335    0.002    0.000    0.534    0.002 tensor.py:181(backward)
      335    0.002    0.000    0.530    0.002 __init__.py:68(backward)
      335    0.525    0.002    0.525    0.002 {method 'run_backward' of 'torch._C._EngineBase' objects}
1200/1050    0.003    0.000    0.523    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        4    0.000    0.000    0.520    0.130 subprocess.py:315(check_output)
      335    0.060    0.000    0.501    0.001 atom_iou_net.py:96(predict_iou)
     7092    0.056    0.000    0.499    0.000 batchnorm.py:97(forward)
      142    0.002    0.000    0.495    0.003 preprocessing.py:33(sample_patch_multiscale)
      143    0.027    0.000    0.482    0.003 preprocessing.py:55(sample_patch)
      284    0.003    0.000    0.470    0.002 preprocessing.py:47(<genexpr>)
    71/50    0.000    0.000    0.464    0.009 <frozen importlib._bootstrap_external>:919(create_module)
    71/50    0.329    0.005    0.463    0.009 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.455    0.455 resnet.py:260(resnet50)
        1    0.001    0.001    0.455    0.455 resnet.py:97(__init__)
        8    0.427    0.053    0.427    0.053 {built-in method _posixsubprocess.fork_exec}
      355    0.002    0.000    0.418    0.001 sre_parse.py:844(parse)
 3705/355    0.021    0.000    0.412    0.001 sre_parse.py:407(_parse_sub)
 9926/371    0.180    0.000    0.410    0.001 sre_parse.py:470(_parse)
     7092    0.028    0.000    0.401    0.000 functional.py:2040(batch_norm)
       67    0.394    0.006    0.394    0.006 {method 'normal_' of 'torch._C._TensorBase' objects}
      928    0.372    0.000    0.372    0.000 {method 'float' of 'torch._C._TensorBase' objects}
      147    0.002    0.000    0.371    0.003 preprocessing.py:6(numpy_to_torch)
        1    0.000    0.000    0.369    0.369 old_build_ext.py:7(<module>)
        3    0.000    0.000    0.369    0.123 old_build_ext.py:28(_check_stack)
        3    0.000    0.000    0.368    0.123 inspect.py:1471(getouterframes)
      177    0.001    0.000    0.368    0.002 inspect.py:1432(getframeinfo)
 1421/177    0.005    0.000    0.366    0.002 inspect.py:680(getsourcefile)
     7092    0.363    0.000    0.363    0.000 {built-in method batch_norm}
      227    0.101    0.000    0.363    0.002 inspect.py:714(getmodule)
        8    0.361    0.045    0.361    0.045 {built-in method posix.read}
       71    0.000    0.000    0.330    0.005 init.py:352(kaiming_uniform_)
       96    0.327    0.003    0.327    0.003 {method 'uniform_' of 'torch._C._TensorBase' objects}
       67    0.000    0.000    0.312    0.005 conv.py:394(__init__)
       67    0.002    0.000    0.308    0.005 conv.py:37(__init__)
       67    0.000    0.000    0.299    0.004 conv.py:85(reset_parameters)
3464/3315    0.055    0.000    0.289    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.260    0.260 loading.py:118(torch_load_legacy)
        1    0.000    0.000    0.258    0.258 serialization.py:496(load)
        1    0.001    0.001    0.258    0.258 serialization.py:615(_legacy_load)
        1    0.000    0.000    0.258    0.258 pyplot.py:19(<module>)
        1    0.000    0.000    0.256    0.256 cpp_extension.py:234(check_compiler_abi_compatibility)
        1    0.000    0.000    0.252    0.252 __init__.py:82(<module>)
      355    0.001    0.000    0.249    0.001 sre_compile.py:542(_code)
        2    0.000    0.000    0.244    0.122 hipify_python.py:629(pattern)
  40110/2    0.118    0.000    0.244    0.122 hipify_python.py:592(_pattern)
      709    0.236    0.000    0.236    0.000 {method '_set_from_file' of 'torch._C.FloatStorageBase' objects}
        1    0.000    0.000    0.227    0.227 rcsetup.py:14(<module>)
      670    0.015    0.000    0.226    0.000 blocks.py:30(forward)
      156    0.002    0.000    0.224    0.001 functional.py:3486(_pad)
      156    0.222    0.001    0.222    0.001 {built-in method torch._C._nn.replication_pad2d}
14020/355    0.092    0.000    0.219    0.001 sre_compile.py:64(_compile)
        4    0.000    0.000    0.207    0.052 resnet.py:153(_make_layer)
        1    0.000    0.000    0.205    0.205 fontconfig_pattern.py:6(<module>)
        1    0.000    0.000    0.202    0.202 __init__.py:95(<module>)
      141    0.002    0.000    0.202    0.001 functional.py:2975(interpolate)
     1107    0.008    0.000    0.201    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      141    0.197    0.001    0.197    0.001 {built-in method torch._C._nn.upsample_bilinear2d}
        4    0.000    0.000    0.193    0.048 __init__.py:15(<module>)
        1    0.000    0.000    0.187    0.187 atom_iou_net.py:23(__init__)
       16    0.000    0.000    0.183    0.011 resnet.py:59(__init__)
        7    0.000    0.000    0.175    0.025 version.py:1(<module>)
        2    0.000    0.000    0.169    0.085 tracker.py:1(<module>)
        1    0.000    0.000    0.168    0.168 visdom.py:1(<module>)
     6663    0.010    0.000    0.168    0.000 activation.py:101(forward)
     6669    0.014    0.000    0.158    0.000 functional.py:1124(relu)
        4    0.000    0.000    0.156    0.039 __init__.py:7(<module>)
      142    0.002    0.000    0.155    0.001 dimp.py:196(localize_target)
      142    0.062    0.000    0.151    0.001 dimp.py:238(localize_advanced)
        1    0.000    0.000    0.149    0.149 cpp_extension.py:27(_find_cuda_home)
        1    0.000    0.000    0.146    0.146 cpp_extension.py:1478(_run_ninja_build)
     1248    0.009    0.000    0.144    0.000 <frozen importlib._bootstrap>:870(_find_spec)
