Evaluating    1 trackers on     1 sequences
Tracker: dimp dimp50 None ,  Sequence: pigeon04_wild
Using /root/.cache/torch_extensions as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /root/.cache/torch_extensions/_prroi_pooling/build.ninja...
Building extension module _prroi_pooling...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _prroi_pooling...
FPS: 18.480836359754
Done
         3764651 function calls (3632342 primitive calls) in 14.452 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 helpers.py:687(<dictcomp>)
      425    0.001    0.000    0.001    0.000 artist.py:1363(aliased_name)
      367    0.001    0.000    0.001    0.000 version.py:474(_cmpkey)
     1887    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     1005    0.001    0.000    0.001    0.000 functional.py:1686(<listcomp>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
      422    0.001    0.000    0.001    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
       21    0.000    0.000    0.001    0.000 core.py:668(<listcomp>)
     12/5    0.000    0.000    0.001    0.000 core.py:4069(streamline)
        1    0.000    0.000    0.001    0.001 texmanager.py:28(<module>)
     2174    0.001    0.000    0.001    0.000 typing.py:1089(__eq__)
        1    0.000    0.000    0.001    0.001 polynomial.py:74(<module>)
       25    0.000    0.000    0.001    0.000 core.py:252(_trim_arity)
      155    0.000    0.000    0.001    0.000 symbolic_helper.py:122(decorator)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
      898    0.000    0.000    0.001    0.000 version.py:74(__lt__)
        1    0.000    0.000    0.001    0.001 unicode.py:80(alphanums)
     2655    0.001    0.000    0.001    0.000 inspect.py:2781(<genexpr>)
      222    0.001    0.000    0.001    0.000 core.py:447(__init__)
     7710    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 util.py:11(<module>)
    30/16    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
    24/12    0.000    0.000    0.001    0.000 core.py:4085(parseImpl)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
    11449    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
        6    0.000    0.000    0.001    0.000 os.py:607(get_exec_path)
       29    0.001    0.000    0.001    0.000 enum.py:160(<setcomp>)
        1    0.000    0.000    0.001    0.001 tcpclient.py:37(_Connector)
     1243    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
      215    0.000    0.000    0.001    0.000 module.py:361(compute_should_use_set_data)
     4047    0.001    0.000    0.001    0.000 {built-in method torch._C.is_grad_enabled}
        1    0.000    0.000    0.001    0.001 densenet.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ioloop.py:78(IOLoop)
        1    0.000    0.000    0.001    0.001 folder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tracker.py:711(get_parameters)
    46/41    0.000    0.000    0.001    0.000 typing.py:875(__extrahook__)
      143    0.001    0.000    0.001    0.000 tracker.py:175(_store_outputs)
        1    0.000    0.000    0.001    0.001 _http.py:18(<module>)
       19    0.000    0.000    0.001    0.000 container.py:60(__init__)
        1    0.000    0.000    0.001    0.001 httputil.py:247(HTTPServerRequest)
        1    0.000    0.000    0.001    0.001 backend_agg.py:22(<module>)
      874    0.001    0.000    0.001    0.000 module.py:1175(named_children)
        1    0.000    0.000    0.001    0.001 StringEncoding.py:5(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
      873    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      572    0.001    0.000    0.001    0.000 resnet.py:170(_add_output_and_check)
        1    0.000    0.000    0.001    0.001 msvc.py:20(<module>)
        1    0.000    0.000    0.001    0.001 mnist.py:1(<module>)
       16    0.000    0.000    0.001    0.000 core.py:1519(__or__)
        3    0.000    0.000    0.001    0.000 __init__.py:2254(declare_namespace)
        1    0.000    0.000    0.001    0.001 results.py:2(<module>)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
     1350    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.001    0.001 dimp.py:384(<listcomp>)
     2235    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      146    0.001    0.000    0.001    0.000 {method 'squeeze' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 symbolic_opset9.py:1(<module>)
       16    0.000    0.000    0.001    0.000 __init__.py:2102(safe_listdir)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        1    0.000    0.000    0.001    0.001 api.py:11(<module>)
        1    0.000    0.000    0.001    0.001 std.py:9(<module>)
       47    0.000    0.000    0.001    0.000 module.py:1068(parameters)
        1    0.000    0.000    0.001    0.001 base.py:23(train)
        1    0.000    0.000    0.001    0.001 font_manager.py:1004(json_load)
        4    0.000    0.000    0.001    0.000 _datasource.py:157(open)
       61    0.000    0.000    0.001    0.000 typing.py:222(__init__)
     3656    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       47    0.000    0.000    0.001    0.000 module.py:1092(named_parameters)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._c10d_init}
        1    0.000    0.000    0.001    0.001 pooling.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       84    0.000    0.000    0.001    0.000 subprocess.py:1284(<genexpr>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 cpp_extension.py:1659(_write_ninja_file)
        1    0.000    0.000    0.001    0.001 cmd.py:5(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
       47    0.000    0.000    0.001    0.000 module.py:1055(_named_members)
       54    0.000    0.000    0.001    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.001    0.001 __init__.py:12(<module>)
     1293    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.001    0.001 StringEncoding.py:255(_build_specials_replacer)
        1    0.000    0.000    0.001    0.001 spawn.py:2(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 overrides.py:19(<module>)
      356    0.001    0.000    0.001    0.000 sre_parse.py:223(__init__)
      119    0.000    0.000    0.001    0.000 __init__.py:1478(_validate_resource_path)
        2    0.000    0.000    0.001    0.001 __init__.py:302(loads)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
        1    0.000    0.000    0.001    0.001 path.py:10(<module>)
 1108/263    0.001    0.000    0.001    0.000 module.py:1222(named_modules)
        1    0.000    0.000    0.001    0.001 running.py:67(<listcomp>)
      131    0.000    0.000    0.001    0.000 core.py:1908(__eq__)
        2    0.000    0.000    0.001    0.001 decoder.py:334(decode)
        2    0.000    0.000    0.001    0.001 warnings.py:85(_showwarnmsg)
        1    0.000    0.000    0.001    0.001 common.py:423(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:11(<module>)
       16    0.000    0.000    0.001    0.000 core.py:4061(__init__)
      107    0.000    0.000    0.001    0.000 inspect.py:536(_finddoc)
        1    0.000    0.000    0.001    0.001 models.py:1(<module>)
        2    0.000    0.000    0.001    0.001 decoder.py:345(raw_decode)
       17    0.000    0.000    0.001    0.000 deprecation.py:416(_make_keyword_only)
        2    0.000    0.000    0.001    0.001 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.001    0.001 unicode.py:70(alphas)
      6/4    0.000    0.000    0.001    0.000 pyparsing.py:3859(parseImpl)
        1    0.000    0.000    0.001    0.001 _builtins.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _abnf.py:3(<module>)
       64    0.000    0.000    0.001    0.000 init.py:180(ones_)
      401    0.001    0.000    0.001    0.000 sre_parse.py:84(opengroup)
     20/6    0.000    0.000    0.001    0.000 core.py:4350(parseImpl)
        1    0.000    0.000    0.001    0.001 retry.py:1(<module>)
        1    0.000    0.000    0.001    0.001 backend_tools.py:12(<module>)
        1    0.000    0.000    0.001    0.001 ImageEnhance.py:21(<module>)
     2132    0.001    0.000    0.001    0.000 inspect.py:159(isfunction)
       20    0.000    0.000    0.001    0.000 core.py:4933(parseImpl)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
      515    0.001    0.000    0.001    0.000 genericpath.py:117(_splitext)
        1    0.000    0.000    0.001    0.001 frontend.py:1(<module>)
        1    0.000    0.000    0.001    0.001 segmentation.py:1(<module>)
       63    0.000    0.000    0.001    0.000 colors.py:829(reversed)
      773    0.000    0.000    0.001    0.000 serialization.py:810(restore_location)
        1    0.001    0.001    0.001    0.001 cuda_to_hip_mappings.py:1(<module>)
       18    0.000    0.000    0.001    0.000 core.py:4866(parseImpl)
        3    0.000    0.000    0.001    0.000 augmentation.py:130(__init__)
     4794    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.001    0.001 image.py:1(<module>)
       64    0.000    0.000    0.001    0.000 init.py:57(_no_grad_fill_)
        4    0.000    0.000    0.001    0.000 _datasource.py:489(open)
       75    0.001    0.000    0.001    0.000 {built-in method rand}
        1    0.000    0.000    0.001    0.001 running.py:73(save_time)
        1    0.000    0.000    0.001    0.001 internal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 concurrent.py:26(<module>)
       12    0.000    0.000    0.001    0.000 __init__.py:1852(_define_aliases)
      355    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 _lobpcg.py:2(<module>)
        2    0.000    0.000    0.001    0.001 warnings.py:106(_formatwarnmsg)
        1    0.000    0.000    0.001    0.001 loading.py:133(_setup_legacy_env)
        2    0.000    0.000    0.001    0.001 warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
      349    0.001    0.000    0.001    0.000 sre_parse.py:294(_class_escape)
       88    0.000    0.000    0.001    0.000 __init__.py:2865(insert_on)
        1    0.000    0.000    0.001    0.001 image_loader.py:1(<module>)
       64    0.000    0.000    0.001    0.000 batchnorm.py:55(reset_running_stats)
       67    0.001    0.000    0.001    0.000 {built-in method zeros}
      177    0.000    0.000    0.001    0.000 __init__.py:1304(safe_name)
     1200    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
     4527    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 iostream.py:210(BaseIOStream)
      457    0.001    0.000    0.001    0.000 enum.py:353(__setattr__)
        1    0.000    0.000    0.001    0.001 observer.py:2(<module>)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.001    0.001 scale.py:8(<module>)
        4    0.000    0.000    0.001    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.001    0.001 jsonpatch.py:33(<module>)
        1    0.000    0.000    0.001    0.001 worker.py:5(<module>)
     6036    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       48    0.000    0.000    0.001    0.000 pyparsing.py:1948(__or__)
     4942    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.001    0.001 loss.py:1(<module>)
       68    0.001    0.000    0.001    0.000 {method 'min' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 _markupbase.py:6(<module>)
       61    0.000    0.000    0.001    0.000 core.py:4326(__init__)
       67    0.001    0.000    0.001    0.000 {method 'clamp_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 types.py:1(<module>)
       53    0.000    0.000    0.001    0.000 __init__.py:1838(getLogger)
        1    0.000    0.000    0.001    0.001 quantization_patterns.py:1(<module>)
        1    0.000    0.000    0.001    0.001 poolers.py:2(<module>)
        1    0.000    0.000    0.001    0.001 prroi_pool.py:12(<module>)
      6/2    0.000    0.000    0.001    0.000 pyparsing.py:4183(streamline)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.001    0.001 symbolic_trace.py:1(<module>)
        2    0.000    0.000    0.001    0.000 unicode.py:55(_chars_for_ranges)
      212    0.000    0.000    0.001    0.000 module.py:1195(modules)
     4026    0.001    0.000    0.001    0.000 typing.py:1096(__hash__)
        1    0.000    0.000    0.001    0.001 util.py:5(<module>)
        1    0.000    0.000    0.001    0.001 cityscapes.py:1(<module>)
       13    0.000    0.000    0.001    0.000 enum.py:760(_missing_)
        1    0.000    0.000    0.001    0.001 sysconfig.py:10(<module>)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
     3928    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.001    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 replicate.py:1(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arraysetops.py:27(<module>)
        1    0.000    0.000    0.001    0.001 sessions.py:9(<module>)
       17    0.000    0.000    0.001    0.000 __init__.py:1416(get_metadata_lines)
      808    0.000    0.000    0.001    0.000 inspect.py:505(_is_wrapper)
       13    0.000    0.000    0.001    0.000 enum.py:767(_create_pseudo_member_)
        1    0.000    0.000    0.001    0.001 container.py:375(ParameterList)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
      215    0.001    0.000    0.001    0.000 {built-in method _has_compatible_shallow_copy_type}
        2    0.000    0.000    0.001    0.000 ssl.py:390(__new__)
     1796    0.001    0.000    0.001    0.000 version.py:84(<lambda>)
       73    0.001    0.000    0.001    0.000 {built-in method sqrt}
       17    0.000    0.000    0.001    0.000 __init__.py:1403(get_metadata)
      253    0.000    0.000    0.001    0.000 typing.py:206(__new__)
        1    0.000    0.000    0.001    0.001 _torch_docs.py:1(<module>)
       83    0.000    0.000    0.001    0.000 deprecation.py:222(finalize)
        1    0.000    0.000    0.001    0.001 request.py:941(AbstractBasicAuthHandler)
        1    0.000    0.000    0.001    0.001 __init__.py:2414(EntryPoint)
        1    0.000    0.000    0.001    0.001 checkpoint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constraint_registry.py:66(<module>)
       12    0.000    0.000    0.001    0.000 tokenize.py:448(open)
        1    0.000    0.000    0.001    0.001 gridspec.py:10(<module>)
       15    0.000    0.000    0.001    0.000 argparse.py:1307(add_argument)
        1    0.000    0.000    0.001    0.001 poolers.py:87(MultiScaleRoIAlign)
       48    0.000    0.000    0.001    0.000 pyparsing.py:3540(__init__)
        1    0.000    0.000    0.001    0.001 symbolic_helper.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _lobpcg.py:262(LOBPCGAutogradFunction)
       53    0.000    0.000    0.001    0.000 __init__.py:1161(getLogger)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
      282    0.000    0.000    0.001    0.000 typing.py:1263(<genexpr>)
        1    0.000    0.000    0.001    0.001 ticker.py:167(<module>)
        1    0.000    0.000    0.001    0.001 transforms.py:30(<module>)
     1542    0.001    0.000    0.001    0.000 typing.py:971(<genexpr>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.001    0.001 graph.py:68(Graph)
     2095    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
       67    0.000    0.000    0.001    0.000 tensorlist.py:35(__iadd__)
      143    0.001    0.000    0.001    0.000 dimpnet.py:71(get_backbone_clf_feat)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
        1    0.000    0.000    0.001    0.001 container.py:235(ModuleDict)
        1    0.000    0.000    0.001    0.001 backend_registry.py:2(<module>)
       63    0.000    0.000    0.001    0.000 colors.py:848(<dictcomp>)
        1    0.000    0.000    0.001    0.001 _trace.py:9(<module>)
     1012    0.001    0.000    0.001    0.000 functools.py:74(wraps)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
      143    0.000    0.000    0.001    0.000 data.py:98(frame_info)
      325    0.000    0.000    0.001    0.000 posixpath.py:144(basename)
       13    0.000    0.000    0.001    0.000 enum.py:839(_decompose)
      146    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
        1    0.000    0.000    0.001    0.001 cityscapes.py:12(Cityscapes)
        1    0.000    0.000    0.001    0.001 version.py:93(StrictVersion)
      873    0.001    0.000    0.001    0.000 copyreg.py:87(__newobj__)
      530    0.001    0.000    0.001    0.000 {method 'size' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 httputil.py:76(HTTPHeaders)
      106    0.000    0.000    0.001    0.000 font_manager.py:962(_json_decode)
        1    0.000    0.000    0.001    0.001 util.py:2(<module>)
        1    0.000    0.000    0.001    0.001 texmanager.py:47(TexManager)
   146/39    0.000    0.000    0.001    0.000 core.py:1855(__str__)
        1    0.000    0.000    0.001    0.001 TypeSlots.py:6(<module>)
        1    0.000    0.000    0.001    0.001 jsonapi.py:7(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:1604(__init__)
      182    0.001    0.000    0.001    0.000 {method 'fill_' of 'torch._C._TensorBase' objects}
      269    0.001    0.000    0.001    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 figure.py:220(Figure)
        1    0.000    0.000    0.001    0.001 widgets.py:10(<module>)
      215    0.000    0.000    0.001    0.000 parameter.py:23(__new__)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1243(CookieJar)
     1546    0.000    0.000    0.001    0.000 serialization.py:790(_maybe_decode_ascii)
        1    0.000    0.000    0.001    0.001 sysconfig.py:503(get_paths)
      773    0.001    0.000    0.001    0.000 serialization.py:173(default_restore_location)
        1    0.000    0.000    0.001    0.001 distributed_c10d.py:1(<module>)
        2    0.000    0.000    0.001    0.000 inception.py:1(<module>)
        1    0.000    0.000    0.001    0.001 websocket.py:1357(WebSocketClientConnection)
       88    0.001    0.000    0.001    0.000 six.py:146(__init__)
      780    0.001    0.000    0.001    0.000 {method 'tell' of '_io.BufferedReader' objects}
       44    0.000    0.000    0.001    0.000 core.py:138(get_object_signature)
     1952    0.001    0.000    0.001    0.000 typing.py:651(<genexpr>)
     2698    0.001    0.000    0.001    0.000 {built-in method torch._C._set_grad_enabled}
        1    0.000    0.000    0.001    0.001 sysconfig.py:160(_expand_vars)
        1    0.000    0.000    0.001    0.001 web.py:1949(Application)
        1    0.000    0.000    0.001    0.001 rpn.py:2(<module>)
     1716    0.001    0.000    0.001    0.000 _weakrefset.py:16(__init__)
 1019/958    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.001    0.001 data_parallel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3719(__init__)
     1528    0.001    0.000    0.001    0.000 sre_parse.py:81(groups)
      529    0.001    0.000    0.001    0.000 __init__.py:2635(key)
       24    0.001    0.000    0.001    0.000 {built-in method abs}
       64    0.000    0.000    0.001    0.000 functools.py:479(decorating_function)
      102    0.000    0.000    0.001    0.000 __init__.py:1598(_has)
        1    0.000    0.000    0.001    0.001 animation.py:96(MovieWriterRegistry)
       64    0.000    0.000    0.001    0.000 init.py:194(zeros_)
        5    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(expand_dims)
      301    0.001    0.000    0.001    0.000 {method 'tolist' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 selector_events.py:5(<module>)
     2592    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
      496    0.000    0.000    0.001    0.000 typing.py:1025(_abc_negative_cache)
     1716    0.001    0.000    0.001    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.001    0.001 futures.py:1(<module>)
        1    0.000    0.000    0.001    0.001 grad_scaler.py:1(<module>)
      274    0.000    0.000    0.001    0.000 function_base.py:437(_add_docstring)
     1283    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.001    0.001 msvc9compiler.py:8(<module>)
     1200    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:394(Visdom)
        1    0.000    0.000    0.001    0.001 connection.py:10(<module>)
        1    0.000    0.000    0.001    0.001 exp_family.py:1(<module>)
        1    0.000    0.000    0.001    0.001 core.py:4734(_MultipleMatch)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
       30    0.000    0.000    0.001    0.000 getlimits.py:41(<lambda>)
       64    0.000    0.000    0.001    0.000 init.py:62(_no_grad_zero_)
        1    0.000    0.000    0.001    0.001 _methods.py:5(<module>)
       51    0.000    0.000    0.001    0.000 contextlib.py:129(contextmanager)
        1    0.000    0.000    0.001    0.001 polar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _tensor_docs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _recursive.py:261(ConcreteTypeStore)
        1    0.000    0.000    0.001    0.001 node.py:23(Node)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.001    0.001 Utils.py:6(<module>)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1204(setResultsName)
        2    0.000    0.000    0.001    0.000 response.py:1(<module>)
        2    0.000    0.000    0.001    0.000 batchnorm.py:1(<module>)
    87/79    0.000    0.000    0.001    0.000 pyparsing.py:3576(__str__)
     1762    0.001    0.000    0.001    0.000 {method '__subclasses__' of 'type' objects}
        1    0.000    0.000    0.001    0.001 netutil.py:307(Resolver)
      720    0.000    0.000    0.001    0.000 __init__.py:2344(_normalize_cached)
        1    0.000    0.000    0.001    0.001 pyplot.py:1872(get_plot_commands)
       26    0.000    0.000    0.001    0.000 core.py:6750(__init__)
      356    0.000    0.000    0.001    0.000 typing.py:168(__new__)
        8    0.000    0.000    0.001    0.000 dimp.py:368(<lambda>)
        1    0.000    0.000    0.001    0.001 backend_agg.py:389(FigureCanvasAgg)
     1109    0.000    0.000    0.001    0.000 sre_compile.py:102(fixup)
        1    0.000    0.000    0.001    0.001 gumbel.py:1(<module>)
        1    0.000    0.000    0.001    0.001 more.py:1(<module>)
        1    0.000    0.000    0.001    0.001 container.py:496(ParameterDict)
        1    0.000    0.000    0.001    0.001 queues.py:1(<module>)
     1346    0.001    0.000    0.001    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 vision.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _freeze.py:5(<module>)
       82    0.000    0.000    0.001    0.000 __init__.py:1873(make_alias)
      277    0.000    0.000    0.001    0.000 results.py:136(__new__)
    77/62    0.000    0.000    0.001    0.000 pyparsing.py:3434(__str__)
        2    0.000    0.000    0.001    0.000 proxy.py:1(<module>)
      119    0.000    0.000    0.001    0.000 ntpath.py:67(isabs)
        1    0.000    0.000    0.001    0.001 certs.py:14(<module>)
       85    0.000    0.000    0.001    0.000 sre_parse.py:266(getuntil)
       26    0.000    0.000    0.001    0.000 core.py:6755(getdoc)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
        1    0.000    0.000    0.001    0.001 augmentation.py:41(__call__)
     4347    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.001    0.000 environment.py:58(env_settings)
        1    0.000    0.000    0.001    0.001 comm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fuse_modules.py:2(<module>)
       92    0.000    0.000    0.001    0.000 tensor.py:596(__hash__)
        1    0.000    0.000    0.001    0.001 httpclient.py:140(AsyncHTTPClient)
        1    0.000    0.000    0.001    0.001 _base.py:4(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:2089(_warn_external)
     1949    0.001    0.000    0.001    0.000 {built-in method torch._C._is_torch_function_enabled}
        2    0.000    0.000    0.001    0.000 distributed.py:1(<module>)
     1107    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:800(__init__)
        1    0.000    0.000    0.001    0.001 DFA.py:9(<module>)
      144    0.000    0.000    0.001    0.000 npyio.py:1067(<listcomp>)
       52    0.000    0.000    0.001    0.000 core.py:3799(<genexpr>)
        1    0.000    0.000    0.001    0.001 core.py:4321(ParseElementEnhance)
        4    0.000    0.000    0.001    0.000 core.py:1430(__mul__)
       56    0.000    0.000    0.001    0.000 coroutines.py:194(coroutine)
        2    0.000    0.000    0.001    0.000 unicode.py:63(<listcomp>)
        1    0.000    0.000    0.001    0.001 animation.py:408(FileMovieWriter)
        1    0.000    0.000    0.001    0.001 utils.py:3(<module>)
       13    0.001    0.000    0.001    0.000 {built-in method exp}
      157    0.000    0.000    0.001    0.000 os.py:794(fsencode)
      673    0.001    0.000    0.001    0.000 function.py:14(save_for_backward)
        4    0.000    0.000    0.001    0.000 _datasource.py:346(_findfile)
     1248    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
        1    0.000    0.000    0.001    0.001 imp.py:255(find_module)
        2    0.000    0.000    0.001    0.000 googlenet.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cpp_extension.py:1363(_get_cuda_arch_flags)
  394/319    0.001    0.000    0.001    0.000 sre_compile.py:414(_get_literal_prefix)
      215    0.001    0.000    0.001    0.000 {built-in method _make_subclass}
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
     1243    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
     1426    0.001    0.000    0.001    0.000 version.py:282(<genexpr>)
        1    0.000    0.000    0.001    0.001 dataloader.py:69(DataLoader)
       12    0.000    0.000    0.001    0.000 enum.py:857(<listcomp>)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._rpc_init}
        2    0.000    0.000    0.001    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.001    0.001 anchor_utils.py:2(<module>)
        5    0.000    0.000    0.001    0.000 shape_base.py:512(expand_dims)
      188    0.001    0.000    0.001    0.000 colors.py:850(<listcomp>)
       82    0.000    0.000    0.001    0.000 core.py:2257(__init__)
      269    0.000    0.000    0.001    0.000 enum.py:20(_is_descriptor)
     2005    0.001    0.000    0.001    0.000 sre_parse.py:167(__setitem__)
        2    0.000    0.000    0.001    0.000 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:28(<module>)
      135    0.000    0.000    0.001    0.000 pyplot.py:1885(<genexpr>)
        6    0.000    0.000    0.001    0.000 deprecation.py:56(warn_deprecated)
        3    0.000    0.000    0.001    0.000 pyplot.py:794(close)
        4    0.000    0.000    0.001    0.000 resnet.py:1(<module>)
        1    0.000    0.000    0.001    0.001 markers.py:127(<module>)
        1    0.000    0.000    0.001    0.001 adapters.py:9(<module>)
       27    0.000    0.000    0.001    0.000 pathlib.py:1089(glob)
        3    0.000    0.000    0.001    0.000 _pylab_helpers.py:79(destroy_all)
      616    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
        3    0.000    0.000    0.001    0.000 augmentation.py:137(<listcomp>)
       17    0.000    0.000    0.001    0.000 __init__.py:1610(_get)
        1    0.000    0.000    0.001    0.001 csv.py:4(<module>)
        1    0.000    0.000    0.001    0.001 os.py:701(copy)
        1    0.000    0.000    0.001    0.001 annotations.py:1(<module>)
        3    0.001    0.000    0.001    0.000 {built-in method gc.collect}
        3    0.000    0.000    0.001    0.000 utils.py:4(<module>)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
     1784    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        8    0.000    0.000    0.001    0.000 __init__.py:2327(normalize_path)
